Ngày,Số 1,Số 2,Số 3,Số 4,Số 5,Số 6,Số 7
30/11/2019,8,9,10,32,44,50,15
03/12/2019,21,29,36,41,50,52,42
05/12/2019,9,11,16,27,35,40,51
07/12/2019,7,18,38,42,47,51,8
10/12/2019,5,20,33,42,43,49,26
12/12/2019,1,9,15,42,49,50,48
14/12/2019,3,30,33,34,40,47,26
17/12/2019,4,5,14,19,22,37,43
19/12/2019,18,22,25,28,29,34,50
21/12/2019,5,8,20,34,37,42,51
24/12/2019,3,16,30,34,50,55,48
26/12/2019,5,6,12,18,23,54,26
28/12/2019,10,17,26,28,29,32,21
31/12/2019,2,22,26,28,44,55,27
02/01/2020,12,14,26,29,33,40,50
04/01/2020,4,14,26,42,44,55,48
07/01/2020,8,11,16,22,42,54,13
09/01/2020,17,20,21,29,52,54,51
11/01/2020,8,11,17,19,25,47,53
14/01/2020,3,4,17,39,50,51,53
16/01/2020,10,11,26,33,44,46,55
18/01/2020,13,18,19,23,32,43,11
21/01/2020,14,31,45,47,52,54,13
23/01/2020,9,15,18,25,31,49,46
28/01/2020,1,20,24,33,40,55,46
30/01/2020,12,18,28,30,47,50,41
01/02/2020,2,3,11,23,35,54,6
04/02/2020,6,10,20,47,52,55,46
06/02/2020,13,18,34,36,45,49,37
08/02/2020,9,12,19,25,41,54,38
11/02/2020,4,14,18,21,32,53,2
13/02/2020,25,28,32,34,35,39,7
15/02/2020,26,36,37,38,42,49,46
18/02/2020,27,32,36,37,47,48,50
20/02/2020,1,3,20,33,36,51,49
22/02/2020,7,24,32,49,51,54,44
25/02/2020,5,13,21,36,39,48,6
27/02/2020,3,11,21,29,47,55,50
29/02/2020,9,17,23,26,51,54,32
03/03/2020,14,15,31,40,43,49,12
05/03/2020,8,9,34,40,41,54,13
07/03/2020,5,11,21,30,40,48,20
10/03/2020,23,25,30,36,45,52,53
12/03/2020,2,14,19,24,27,34,48
14/03/2020,12,20,25,38,39,40,37
17/03/2020,1,14,18,43,49,50,8
19/03/2020,3,35,41,42,43,49,31
21/03/2020,10,12,14,17,29,53,25
24/03/2020,3,9,20,21,33,52,50
26/03/2020,7,8,11,31,35,36,45
28/03/2020,1,10,11,13,27,55,19
31/03/2020,12,19,40,41,43,53,23
25/04/2020,4,18,24,30,53,55,13
28/04/2020,4,6,10,16,30,46,34
30/04/2020,12,31,32,33,39,41,14
02/05/2020,2,6,9,16,43,53,19
05/05/2020,1,4,13,15,18,20,22
07/05/2020,9,19,28,30,32,54,22
09/05/2020,18,19,30,39,45,46,11
12/05/2020,1,8,25,34,38,44,28
14/05/2020,7,23,29,47,51,55,12
16/05/2020,19,35,38,49,52,55,1
19/05/2020,5,15,16,19,49,55,3
21/05/2020,2,15,22,25,30,46,10
23/05/2020,4,13,27,47,50,55,31
26/05/2020,11,12,23,24,34,47,43
28/05/2020,1,4,8,21,44,49,52
30/05/2020,12,13,41,42,48,53,20
02/06/2020,4,19,31,42,48,55,22
04/06/2020,6,12,16,34,39,54,19
06/06/2020,8,12,24,32,35,51,21
09/06/2020,1,3,8,22,42,48,44
11/06/2020,3,21,25,32,35,52,34
13/06/2020,7,9,11,30,43,53,10
16/06/2020,2,15,16,23,33,54,45
18/06/2020,5,18,27,45,50,54,9
20/06/2020,5,9,33,43,44,50,46
23/06/2020,2,18,28,46,52,54,19
25/06/2020,9,10,12,19,27,40,55
27/06/2020,2,6,38,47,50,53,14
30/06/2020,5,11,18,19,20,21,52
02/07/2020,4,10,20,38,48,53,5
04/07/2020,3,9,10,18,29,45,36
07/07/2020,7,24,32,35,48,50,1
09/07/2020,3,10,11,17,26,54,21
11/07/2020,3,4,6,14,20,38,35
14/07/2020,5,22,32,34,43,51,12
16/07/2020,2,5,11,20,24,32,6
18/07/2020,3,13,22,28,30,53,16
21/07/2020,6,14,31,37,38,44,4
23/07/2020,4,12,31,47,49,52,2
25/07/2020,2,19,21,34,54,55,24
28/07/2020,3,11,20,34,44,54,16
30/07/2020,6,7,16,26,29,54,4
01/08/2020,13,18,29,30,40,47,4
04/08/2020,10,15,20,21,32,51,8
06/08/2020,2,5,21,24,26,27,11
08/08/2020,3,12,24,26,36,43,8
11/08/2020,2,12,33,39,52,53,44
13/08/2020,3,25,28,44,49,54,19
15/08/2020,1,11,29,30,41,51,4
18/08/2020,22,41,44,46,51,52,2
20/08/2020,14,18,28,32,33,36,41
22/08/2020,1,20,24,26,35,51,12
25/08/2020,21,35,36,38,44,47,14
29/08/2020,1,4,14,28,35,53,2
01/09/2020,11,22,24,47,49,53,3
03/09/2020,7,9,18,22,35,54,50
05/09/2020,9,12,19,22,31,46,20
08/09/2020,22,47,48,52,53,55,14
10/09/2020,18,25,27,37,45,50,52
12/09/2020,20,21,24,30,31,44,40
15/09/2020,13,14,15,17,26,53,21
17/09/2020,1,5,28,43,44,53,49
19/09/2020,4,7,8,29,31,41,38
22/09/2020,5,8,15,18,36,45,6
24/09/2020,12,28,41,42,52,53,50
26/09/2020,7,10,13,15,40,48,1
29/09/2020,1,6,7,13,30,55,34
01/10/2020,3,6,7,19,38,54,50
03/10/2020,12,14,22,23,39,44,28
06/10/2020,11,14,29,32,33,40,35
08/10/2020,10,18,20,21,26,51,52
10/10/2020,5,10,47,50,53,54,22
13/10/2020,12,19,28,29,52,53,20
15/10/2020,8,38,41,47,50,52,45
17/10/2020,3,14,25,37,49,54,53
20/10/2020,8,33,38,47,49,54,31
22/10/2020,2,3,12,21,24,38,14
24/10/2020,12,21,22,27,41,50,34
27/10/2020,3,31,33,36,38,39,8
29/10/2020,9,11,14,16,21,23,54
31/10/2020,8,18,19,20,43,54,50
03/11/2020,2,22,27,46,48,52,23
05/11/2020,1,2,6,18,34,51,52
07/11/2020,12,28,30,33,45,52,15
10/11/2020,2,5,19,39,48,53,6
12/11/2020,4,20,22,25,43,47,12
14/11/2020,5,11,15,34,44,48,35
17/11/2020,6,17,27,34,36,51,48
19/11/2020,12,15,23,28,45,48,43
21/11/2020,8,14,19,20,49,51,28
24/11/2020,4,7,19,20,22,53,23
26/11/2020,18,19,29,31,36,52,50
28/11/2020,1,20,36,44,45,49,52
01/12/2020,6,10,12,24,34,43,15
03/12/2020,5,19,32,41,42,45,17
05/12/2020,10,28,29,30,37,38,36
08/12/2020,2,17,32,33,38,45,37
10/12/2020,3,31,34,36,44,54,45
12/12/2020,3,14,32,36,41,46,54
15/12/2020,10,11,13,35,38,49,14
17/12/2020,15,25,27,35,40,48,45
19/12/2020,14,20,32,34,37,49,31
22/12/2020,10,11,16,29,35,38,3
24/12/2020,11,19,34,41,44,48,43
26/12/2020,1,24,33,41,43,51,48
29/12/2020,4,8,11,15,17,41,23
31/12/2020,2,15,25,27,37,51,53
02/01/2021,7,19,23,26,35,45,11
05/01/2021,5,7,9,22,42,54,47
07/01/2021,7,11,22,38,48,51,53
09/01/2021,10,19,24,29,46,48,5
12/01/2021,19,23,29,34,44,53,35
14/01/2021,1,4,42,44,46,50,9
16/01/2021,13,15,28,29,32,44,49
19/01/2021,5,22,25,43,48,53,18
21/01/2021,9,20,22,31,47,52,18
23/01/2021,12,31,39,41,45,55,34
26/01/2021,7,16,32,42,44,47,35
28/01/2021,3,4,16,34,40,55,2
30/01/2021,2,7,17,18,21,29,19
02/02/2021,4,13,31,36,40,54,30
04/02/2021,28,43,44,50,51,53,13
06/02/2021,6,22,32,33,35,53,12
09/02/2021,15,20,21,29,31,41,34
13/02/2021,3,11,14,31,34,42,24
16/02/2021,4,10,11,21,23,44,50
18/02/2021,2,5,10,22,26,47,53
20/02/2021,1,2,4,32,34,39,20
23/02/2021,16,19,21,23,30,48,6
25/02/2021,9,19,32,40,45,51,1
27/02/2021,6,11,24,30,50,52,22
02/03/2021,23,29,45,46,49,51,1
04/03/2021,2,9,21,23,33,41,45
06/03/2021,18,24,34,39,46,55,4
09/03/2021,15,18,29,35,47,54,20
11/03/2021,4,5,12,25,43,44,27
13/03/2021,7,19,20,23,36,55,9
16/03/2021,3,31,45,46,49,54,40
18/03/2021,17,24,38,41,46,54,51
20/03/2021,16,18,20,25,35,36,17
23/03/2021,9,13,17,33,34,53,31
25/03/2021,19,20,24,29,36,39,22
27/03/2021,5,11,17,20,26,37,12
30/03/2021,2,11,17,19,47,51,22
01/04/2021,13,18,24,34,38,54,8
03/04/2021,2,4,34,38,41,55,19
06/04/2021,27,33,34,38,46,48,5
08/04/2021,8,11,16,22,28,30,45
10/04/2021,12,13,16,17,27,47,49
13/04/2021,25,33,39,45,49,55,36
15/04/2021,5,8,27,42,47,51,36
17/04/2021,4,15,16,29,42,46,36
20/04/2021,18,25,38,43,47,51,11
22/04/2021,5,11,17,25,39,48,22
24/04/2021,1,4,5,21,25,44,45
27/04/2021,3,9,22,26,32,37,41
29/04/2021,3,9,23,33,42,44,50
01/05/2021,3,7,14,22,41,42,10
04/05/2021,7,24,45,48,49,53,14
06/05/2021,15,19,24,31,44,53,32
08/05/2021,14,23,26,37,42,51,40
11/05/2021,1,14,41,44,46,53,48
13/05/2021,13,24,25,35,39,41,29
15/05/2021,1,5,6,13,23,27,46
18/05/2021,6,7,22,32,38,47,27
20/05/2021,7,10,12,19,42,54,24
22/05/2021,15,27,37,45,46,52,31
25/05/2021,6,10,33,35,36,43,8
27/05/2021,3,7,18,22,40,46,14
29/05/2021,2,11,31,37,43,55,14
01/06/2021,6,12,14,27,43,45,38
03/06/2021,4,8,21,24,26,47,43
05/06/2021,14,22,25,39,41,52,17
08/06/2021,16,28,33,41,42,54,12
10/06/2021,11,22,24,27,43,54,45
12/06/2021,4,16,17,20,27,44,30
15/06/2021,11,18,21,22,30,55,35
17/06/2021,18,23,38,41,44,55,40
19/06/2021,1,3,7,13,28,45,33
22/06/2021,3,9,32,33,41,43,40
24/06/2021,3,16,17,24,41,44,37
26/06/2021,6,16,17,20,49,52,27
29/06/2021,5,14,24,36,44,55,48
01/07/2021,4,15,28,30,49,52,55
03/07/2021,4,25,30,38,50,55,53
06/07/2021,17,20,22,24,30,54,51
08/07/2021,3,32,34,42,44,54,35
10/07/2021,7,8,17,37,47,48,27
13/07/2021,5,11,18,27,34,43,42
15/07/2021,3,4,12,16,30,50,20
17/07/2021,2,7,11,21,31,42,45
20/07/2021,2,8,11,13,17,26,53
22/07/2021,2,20,24,39,46,53,55
19/08/2021,5,9,12,20,43,51,13
21/08/2021,22,24,27,37,38,48,14
24/08/2021,2,4,7,18,30,35,20
26/08/2021,11,13,20,51,53,55,4
28/08/2021,10,16,26,27,34,48,51
31/08/2021,7,20,37,47,51,53,5
02/09/2021,1,8,12,26,28,45,43
04/09/2021,11,12,32,42,43,51,31
07/09/2021,19,30,35,43,47,55,12
09/09/2021,6,8,10,23,39,44,43
11/09/2021,8,17,20,36,39,44,30
14/09/2021,17,22,30,40,43,44,41
16/09/2021,10,16,40,43,45,46,22
18/09/2021,3,14,15,21,47,52,54
21/09/2021,15,24,25,40,42,50,49
23/09/2021,6,7,21,25,27,49,26
25/09/2021,7,20,27,43,48,51,37
28/09/2021,7,22,25,40,49,50,37
30/09/2021,18,23,26,32,46,49,54
02/10/2021,5,6,22,26,49,51,32
05/10/2021,11,16,17,19,38,43,24
07/10/2021,6,15,21,24,45,55,46
09/10/2021,1,22,25,38,39,54,19
12/10/2021,14,17,31,33,42,50,40
14/10/2021,9,21,24,30,41,44,40
16/10/2021,9,17,22,28,50,55,7
19/10/2021,3,9,25,29,46,50,18
21/10/2021,3,19,32,36,41,51,35
23/10/2021,5,11,19,26,28,33,9
26/10/2021,21,24,29,34,39,53,20
28/10/2021,2,4,6,13,31,35,16
30/10/2021,31,36,40,44,50,53,11
02/11/2021,37,38,42,46,47,55,23
04/11/2021,5,10,15,31,32,50,28
06/11/2021,23,31,41,48,49,51,3
09/11/2021,12,25,26,47,51,53,16
11/11/2021,3,35,37,41,45,49,31
13/11/2021,18,22,29,33,46,48,37
16/11/2021,8,19,27,34,46,51,2
18/11/2021,18,30,32,37,39,40,10
20/11/2021,6,10,29,30,31,51,35
23/11/2021,5,7,9,28,38,55,50
25/11/2021,16,18,24,29,33,41,43
27/11/2021,2,5,7,21,31,37,44
30/11/2021,12,21,23,28,33,46,38
02/12/2021,6,23,28,31,44,48,14
04/12/2021,7,9,31,32,36,49,37
07/12/2021,4,6,22,32,34,53,41
09/12/2021,3,14,33,40,41,50,17
11/12/2021,8,13,17,22,42,51,45
14/12/2021,10,16,19,24,39,50,29
16/12/2021,19,24,30,41,43,49,55
18/12/2021,4,6,19,26,38,41,16
21/12/2021,23,25,28,49,52,54,44
